Spine Id;Dendrite Segment;Distance to dendrite;Spine Position X;Spine Position Y;Spine Position Z;Spine Volume;Spine Area;Spine Length;Spine Mean Diameter;Spine Max Diameter;Spine Min Diameter;Spine Neck Length;Spine Neck Mean Diameter;Spine Neck Max Diameter;Spine Neck Min Diameter;Spine Neck Volume;Spine Orientation Angle;Spine Straightness;Spine Branchings
Apical-723000003;1093;0,11669;678,22;726,09;76,4;0,09;0,91;0,61;0,65;0,89;0,48;0;0;0;0;0,04;70,3;1;0
Apical-723000004;1083;0,554874;675,68;725,42;77,07;0,32;2,43;1,3;0,67;1,05;0,48;0,29;0,51;0,53;0,48;0,16;-120,31;1;0
Apical-723000005;1074;0,785555;674,04;726,47;77,42;0,37;2,99;1,83;0,58;1,01;0,4;0,78;0,43;0,51;0,4;0,2;-117,28;0,93;0
Apical-723000006;1065;0,519798;673,06;729,04;78;0,26;2,27;1,42;0,62;1,14;0,4;0,28;0,41;0,42;0,4;0,1;52,48;0,93;0
Apical-723000007;1060;0,475872;671,81;728,95;78,84;0,12;1,2;0,86;0,7;1,47;0,42;0,29;0,42;0,42;0,42;0,06;-114,54;0,96;0
Apical-723000008;1053;0,324421;670,73;730,54;79,4;0,19;1,65;1,08;0,6;0,9;0,44;0,4;0,5;0,57;0,44;0,13;41,93;0,93;0
Apical-723000009;1044;0,202705;668,95;731,25;80,2;0,07;0,82;0,67;0,82;1,28;0,4;0;0;0;0;0,04;-132,32;0,98;0
Apical-723000010;1027;0,341665;666,54;734,2;81,8;0,43;2,57;1,19;0,89;1,38;0,48;0,41;0,8;0,82;0,77;0,37;-18,56;0,98;0
Apical-723000011;1011;1,73126;663,14;735,77;84,81;0,99;8,22;5,34;0,53;0,91;0,4;3,95;0,46;0,57;0,4;0,83;-146,45;0,53;0
Apical-723000012;1003;0,32551;662,94;738,25;83,55;0,1;1,05;0,84;0,72;1,38;0,4;0;0,42;0,42;0,42;0,07;155,13;0,92;0
Apical-723000013;1000;0,257965;662,86;738,74;84,69;0,32;1,99;0,9;0,98;1,49;0,48;0;0,97;0,97;0,97;0,26;-92,14;1;0
Apical-723000014;977;0,18896;660,59;742,81;87,15;0,08;0,91;0,74;0,77;1,12;0,4;0;0;0;0;0,05;25,55;0,99;0
Apical-723000015;959;0,150018;658,33;746,22;87,17;0,06;0,7;0,6;0,75;1,07;0,4;0;0;0;0;0,03;-92,61;0,95;0
Apical-723000016;912;0,520477;653,83;756,36;87,13;0,44;3,04;1,33;0,74;1,5;0,4;0,25;0,41;0,42;0,4;0;53,22;0,98;0
Apical-723000017;898;0,22555;650,8;758,13;85,91;0,1;0,96;0,64;0,94;1,5;0,48;0;0;0;0;0,04;-147,04;1;0
Apical-723000018;898;0,381646;650,99;757,95;85,42;0,35;2,53;1,29;0,9;1,49;0,58;0;0,58;0,58;0,58;0,19;-34,72;0,97;0
Apical-723000019;889;0,681005;649,47;758,5;83,13;0,47;3,58;2,09;0,8;1,61;0,46;0,61;0,5;0,53;0,46;0,3;-72,37;0,94;0
Apical-723000020;886;0,266699;648,57;759,14;83,19;0,06;0,65;0,55;0,9;1,79;0,4;0;0;0;0;0,02;78,49;0,97;0
Apical-723000021;884;0,487557;648,06;758,6;83,15;0,13;1,13;0,69;0,81;1,84;0,48;0;0,58;0,58;0,58;0,08;-100,65;0,99;0
Apical-723000022;875;0,745752;645,85;758,48;83,26;0,16;1,68;1,34;0,6;1,47;0,4;0,84;0,41;0,42;0,4;0,13;-103,08;0,94;0
Apical-723000023;876;0,62533;645,92;758,88;83,37;0,22;1,96;1,39;0,73;1,47;0,4;0,41;0,47;0,51;0,42;0,18;-133,82;0,97;0
Apical-723000024;877;0,462018;646,18;758,97;83,31;0,43;2,88;1,4;0,88;1,47;0,63;0,37;0,64;0,65;0,63;0,27;2,69;1;0
Apical-723000025;874;0,459239;645,87;758,93;82,14;0,15;1,48;1,07;0,71;1,4;0,4;0,37;0,47;0,51;0,42;0,12;32,16;0,99;0
Apical-723000026;865;0,628809;643,55;759,44;82,04;0,33;2,67;1,56;0,59;1,07;0,4;0,51;0,44;0,51;0,4;0,17;99,19;0,97;0
Apical-723000027;853;0,556643;640,57;757,78;81,67;0,43;2,79;1,09;0,84;1,79;0,44;0;0,44;0,44;0,44;0;-123,62;0,99;0
Apical-723000028;845;0,477515;638,87;757,52;80,57;0,5;3,58;1,71;0,63;1,11;0,4;0,49;0,42;0,47;0,4;0,03;-60,38;0,99;0
Apical-723000029;838;0,310667;637,5;758,36;79,54;0,21;1,66;0,96;0,86;1,42;0,48;0;0,6;0,6;0,6;0,15;10,85;0,99;0
Apical-723000030;834;0,655623;636,26;758,91;79,26;0,57;3,99;1,97;0,63;1,06;0,4;0,54;0,41;0,42;0,4;0,11;80,35;0,93;0
Apical-723000031;833;0,256679;636,37;758,22;79,09;0,17;1,48;0,99;0,7;1,06;0,4;0;0,55;0,55;0,55;0,14;10,82;0,91;0
Apical-723000032;825;0,158372;634,72;757,59;78,28;0,1;0,93;0,62;0,81;1,26;0,48;0;0;0;0;0,04;26,37;1;0
Apical-723000033;820;0,612566;633,15;757,31;77,88;0,25;2,16;1,42;0,68;1,43;0,42;0,83;0,5;0,63;0,42;0,19;162,27;0,89;0
Apical-723000034;818;0,111852;633,41;757,16;76,95;0,07;0,71;0,48;0,81;1,2;0,48;0;0;0;0;0,01;29,88;0,99;0
Apical-723000035;810;0,156321;631,96;756,36;75,65;0,12;1,14;0,76;0,82;1,11;0,48;0;0;0;0;0,06;43,73;1;0
Apical-723000036;797;0,603838;628,89;755,17;75,72;0,25;2,2;1,6;0,75;1,59;0,46;0,54;0,47;0,48;0,46;0,19;104,84;0,9;0
Apical-723000037;788;0,923366;627,15;755,83;73,61;0,65;4,23;2,14;0,68;1,84;0,4;0,78;0,45;0,58;0,4;0,18;98,76;0,91;0
Apical-723000038;783;0,30516;626,66;754,66;72,14;0,11;1,05;0,77;0,83;1,62;0,4;0;0,47;0,47;0,47;0,07;70,07;1;0
Apical-723000039;771;0,124888;625,97;753,04;68,87;0,05;0,51;0,35;0,92;1,46;0,48;0;0;0;0;0;54,08;0,99;1
Apical-723000040;772;1,36183;626,61;753,99;68,24;0,58;3,82;1,85;0,6;0,89;0,4;0,87;0,55;0,82;0,4;0,42;53,68;0,99;0
Apical-723000041;771;0,682932;626,17;753,31;68,37;0,2;1,93;1,44;0,44;0,48;0,4;0,44;0,44;0,44;0,44;0,16;-102,62;0,9;0
Apical-723000042;766;0,157996;624,88;752,59;68,34;0,16;1,46;1,04;0,77;1,17;0,48;0;0;0;0;0,1;-36,03;0,95;0
Apical-723000043;758;0,194778;623,24;752,96;68,02;0,44;2,57;1,1;0,97;1,38;0,68;0;0,85;0,85;0,85;0,27;48,57;1;0
Apical-723000044;755;0,260332;622,48;753,26;68;0,25;1,9;1,13;0,76;1,23;0,4;0;0,65;0,65;0,65;0,22;178,27;0,99;0
Apical-723000045;751;0,526444;621,74;753,56;68,97;0,16;1,54;1,11;0,65;1,42;0,42;0,56;0,43;0,46;0,42;0,1;-138,58;0,95;0
Apical-723000046;743;0,251867;621,29;755,93;69,23;0,29;2,03;1,09;0,71;0,95;0,48;0;0,7;0,7;0,7;0,23;-73,12;0,97;0
Apical-723000047;725;0,958235;620,55;760,03;67,56;0,62;4,66;2,48;0,59;0,96;0,4;1,29;0,44;0,58;0,4;0,15;42,81;0,94;0
Apical-723000048;722;1,7215;618,19;759,59;66,04;1,38;8,47;4,19;0,65;0,96;0,42;2,9;0,56;0,96;0,42;0,91;-159,87;0,91;0
Apical-723000049;711;0,618616;620,32;762,33;63,3;0,22;1,83;1,03;0,76;1,9;0,44;0;0,44;0,44;0,44;0,06;54,37;0,97;0
Apical-723000050;708;0,737317;619,61;762,54;62,45;0,17;1,66;1,23;0,66;1,89;0,4;0,49;0,43;0,46;0,4;0,11;92,61;0,98;0
Apical-723000051;703;0,720031;619,04;761,02;61,1;0,31;2,57;1,54;0,66;1,67;0,4;0,57;0,43;0,46;0,4;0,15;-90,42;0,92;0
Apical-723000052;698;0,830581;618,11;760,98;59,73;0,24;2,23;1,6;0,65;1,86;0,4;1,06;0,44;0,48;0,4;0,18;-119,08;0,96;0
Apical-723000053;699;1,02723;618,58;762,74;60,08;0,36;2,94;1,78;0,66;1,9;0,4;0,75;0,43;0,51;0,4;0,2;76,02;0,97;0
Apical-723000054;690;0,595388;617,22;762,92;58,24;0,4;2,83;1,45;0,74;1,35;0,42;0,31;0,5;0,58;0,42;0,24;5,92;0,96;0
Apical-723000055;688;0,573806;616,02;762,95;58,68;0,23;2,1;1,44;0,62;1,31;0,44;0,61;0,46;0,48;0,44;0,17;-133,02;1;0
Apical-723000056;683;0,214545;615,75;763,52;57,21;0,22;1,63;0,91;0,77;1,19;0,4;0;0,74;0,74;0,74;0,19;-27,05;0,98;0
Apical-723000057;676;1,06566;613,49;763,06;56,92;0,67;5,02;2,73;0,61;1,31;0,4;1,64;0,44;0,47;0,4;0,2;-99,79;0,93;0
Apical-723000058;666;0,388324;611,65;765,2;55,97;0,36;2,1;0,8;1,21;1,89;0,84;0;0;0;0;0,05;91;1;0
Apical-723000059;662;1,02933;611,23;764,41;54,37;0,58;4,06;2,27;0,71;1,9;0,42;1,15;0,5;0,7;0,42;0,41;-74,27;0,91;0
Apical-723000060;653;0,636178;609,42;766,37;53,95;0,35;2,79;1,62;0,69;1,49;0,42;0,57;0,45;0,51;0,42;0,19;36,48;0,94;0
Apical-723000061;628;0,312208;603,85;768,6;52,65;0,42;2,48;1,06;1,07;1,76;0,68;0;0,82;0,82;0,82;0,25;24,8;0,99;0
Apical-723000062;620;0,821028;602;768,28;50,53;0,26;2,26;1,54;0,74;1,86;0,48;0,97;0,48;0,48;0,48;0,2;-133,85;0,96;0
Apical-723000063;620;0,53798;602,19;768,47;50,71;0,22;1,79;0,98;0,8;1,86;0,44;0;0,46;0,46;0,46;0,06;-124,74;0,98;0
Apical-723000064;620;0,868932;602,4;769,72;51;0,21;1,97;1,4;0,71;1,84;0,4;0,79;0,44;0,48;0,4;0,15;87,95;0,97;0
Apical-723000065;610;0,664937;600,7;769,94;48,64;0,27;2,38;1,54;0,61;1,38;0,4;0,48;0,4;0,4;0,4;0,1;-149,44;0,97;0
Apical-723000066;605;0,538474;600,91;771,66;47,71;0,09;0,92;0,76;0,74;1,85;0,4;0;0,42;0,42;0,42;0,05;49,08;0,96;0
Apical-723000067;601;0,329721;600,33;771,66;46,32;0,08;0,81;0,65;0,94;1,84;0,4;0;0,55;0,55;0,55;0,05;-19,47;0,91;0
Apical-723000068;582;0,444728;596,26;773,78;44,16;0,14;1,44;1,06;0,64;1,36;0,42;0,28;0,42;0,42;0,42;0,09;-110,67;0,94;0
Apical-723000069;580;0,214381;596,15;774,46;44,42;0,18;1,31;0,61;1,01;1,48;0,68;0;0;0;0;0,02;135,71;1;0
Apical-723000070;576;0,339584;595,78;774,88;43,26;0,2;1,56;0,89;0,85;1,43;0,48;0;0,63;0,63;0,63;0,14;-31,18;0,99;0
Apical-723000071;572;0,560888;594,68;775,63;43,47;0,33;2,47;1,33;0,78;1,36;0,53;0,39;0,53;0,53;0,53;0,16;124,2;0,99;0
Apical-723000072;566;1,37239;594,36;776,04;40,59;0,59;4,78;3,06;0,61;1,38;0,4;2,33;0,5;0,63;0,4;0,53;34,61;0,91;0
Apical-723000073;566;0,607884;594,04;775,7;41,31;0,34;2,5;1,43;0,75;1,38;0,48;0,72;0,59;0,68;0,49;0,28;-24,79;0,96;0
Apical-723000074;564;0,770098;593,63;776,78;41,9;0,46;3,52;2,04;0,67;1,26;0,4;0,95;0,49;0,61;0,4;0,29;75;0,95;0
Apical-723000075;559;1,35077;593,2;776,73;40,09;0,8;6,45;4,13;0,57;1,07;0,4;2,85;0,5;0,63;0,4;0,75;40,61;0,92;0
Apical-723000076;556;0,337806;591,61;777,27;40,91;0,34;2,41;1,22;0,85;1,36;0,58;0;0,58;0,58;0,58;0,17;-177,32;0,99;0
Apical-723000077;553;1,06135;592,29;777,98;39,82;0,69;4,83;2,53;0,63;1,21;0,4;1,14;0,42;0,46;0,4;0,22;41,55;0,86;0
Apical-723000078;548;0,474067;590,12;778,04;39,72;0,23;1,71;0,85;0,83;1,9;0,44;0;0,51;0,51;0,51;0,07;-145,31;0,99;0
Apical-723000079;546;0,668834;590,13;779,03;39,93;0,49;3,44;1,89;0,84;1,65;0,51;0,57;0,57;0,63;0,51;0,32;53,48;0,92;0
Apical-723000080;541;0,456902;589,47;779,53;38,97;0,08;0,83;0,59;0,78;1,82;0,4;0;0,42;0,42;0,42;0,02;53,86;0,97;0
Apical-723000081;537;0,506566;588,87;779,88;37,74;0,26;2,17;1,26;0,72;1,44;0,42;0,31;0,45;0,47;0,42;0,1;27,64;0,95;0
Apical-723000082;536;0,410857;588,48;779,71;37,52;0,41;2,43;1,13;0,96;1,44;0,48;0;0,84;0,84;0,84;0,35;-6,71;0,96;0
Apical-723000083;529;0,379331;586,72;779,81;37,05;0,1;1,02;0,85;0,84;1,75;0,4;0;0,42;0,42;0,42;0,06;-99,37;0,94;0
Apical-723000084;515;0,747219;583,51;781,41;35,79;0,2;1,92;1,4;0,64;1,54;0,4;0,89;0,43;0,46;0,4;0,14;-149,8;0,97;0
Apical-723000085;510;1,17261;583,38;781,38;33,66;1,07;6,36;3,01;0,86;1,76;0,47;1,71;0,68;0,89;0,47;0,9;-95,65;0,93;0
Apical-723000086;510;0,932778;582,54;782,15;35,28;0,25;2,32;1,64;0,68;1,77;0,4;0,87;0,44;0,51;0,4;0,19;-161,55;0,93;0
Apical-723000087;511;1,24746;583,52;781,22;33,74;0,7;5,26;3,01;0,73;1,78;0,44;2,01;0,52;0,79;0,44;0,54;-52,55;0,92;0
Apical-723000088;506;0,648397;582,76;782,96;33,87;0,12;1,23;1,01;0,67;1,84;0,4;0,49;0,4;0,4;0,4;0,08;32,23;0,97;0
Apical-723000089;504;0,543267;582,19;782,35;33,36;0,46;3,09;1,67;0,97;1,84;0,4;0;0,7;0,7;0,7;0,43;-97,4;0,97;0
Apical-723000090;502;0,560342;581,36;782,49;33,21;0,3;2,75;2,85;0,69;1,83;0,4;0,73;0,44;0,46;0,42;0,24;-116,16;0,71;0
Apical-723000091;497;0,871194;580,12;783,26;33,36;0,32;2,86;1,92;0,65;1,67;0,4;0,84;0,41;0,42;0,4;0,16;-123,94;0,91;0
Apical-723000092;491;0,589981;579,88;784,7;31,78;0,14;1,43;1,09;0,64;1,62;0,4;0,5;0,41;0,42;0,4;0,08;45,79;0,95;0
Apical-723000093;490;0,785041;578,83;784,35;32,2;0,24;2,33;1,78;0,6;1,41;0,4;0,9;0,42;0,46;0,4;0,2;-151,13;0,9;0
Apical-723000094;485;0,638027;578,75;785,45;30,89;0,22;2,19;1,6;0,66;1,76;0,4;1,09;0,43;0,51;0,4;0,17;41,22;0,88;0
Apical-723000095;480;1,39176;578,73;784,63;28,55;1,31;8,25;4,24;0,77;1,9;0,4;2,52;0,51;0,76;0,4;0,84;-50,87;0,98;0
Apical-723000096;477;1,15957;577,91;785,16;27,93;0,49;4,02;2,59;0,7;2,02;0,4;1,67;0,5;0,63;0,4;0,43;-34,26;0,98;0
Apical-723000097;480;1,35658;577,23;786,26;30,12;0,7;5,92;4,13;0,74;2,26;0,4;2,86;0,46;0,58;0,4;0,64;83,7;0,87;0
Apical-723000098;474;0,780299;576,06;785,72;29,02;0,19;1,78;1,27;0,77;1,97;0,4;0,63;0,46;0,51;0,44;0,16;-162,58;0,98;0
Apical-723000099;470;0,371313;575,97;785,43;27,49;0,26;1,93;1,07;0,96;1,87;0,51;0;0,51;0,51;0,51;0,09;-83,33;0,89;0
Apical-723000100;464;1,50931;575,12;787,2;26,3;0,78;5,75;3,29;0,62;2,13;0,4;2,06;0,43;0,51;0,4;0,31;57,68;0,92;0
Apical-723000101;459;1,04728;572,79;786,25;24,84;0,24;2,35;1,79;0,64;2,11;0,4;1;0,42;0,46;0,4;0,18;-177,71;0,92;0
Apical-723000102;460;0,64954;573,31;785,62;25,1;0,12;1,24;0,93;0,72;2,11;0,4;0,25;0,41;0,42;0,4;0,06;-136,91;0,96;0
Apical-723000103;460;1,20858;572,86;786,56;25,56;0,41;3,81;2,87;0,75;2,11;0,44;1,86;0,45;0,46;0,44;0,36;157,8;0,75;0
Apical-723000104;455;0,845968;574,35;785,03;23,41;1,03;7,43;4,23;0,76;2,04;0,42;2,86;0,54;0,72;0,42;0,87;-102,18;0,71;0
Apical-723000105;452;1,36752;573,85;784,11;22,35;0,65;5,87;4,38;0,59;1,84;0,4;3,28;0,43;0,56;0,4;0,59;-82,74;0,76;0
Apical-723000106;449;0,799542;573,51;784,64;21,18;0,36;2,72;1,51;0,68;1,84;0,4;1,01;0,56;0,77;0,4;0,3;-107,32;0,97;0
Apical-723000107;448;0,0616253;573,57;785,55;20,89;0,02;0,25;0;1,19;1,97;0,4;0;0;0;0;0;-158,69;1;0
Apical-723000108;447;1,11439;572,54;784,93;20,62;0,31;3,08;2,32;0,42;0,48;0,4;1,26;0,41;0,42;0,4;0,25;-140,5;0,77;0
Apical-723000109;447;1,45969;572,72;784,32;20,6;0,78;7,74;6,05;0,41;0,44;0,4;5,13;0,41;0,44;0,4;0,75;-85,51;0,38;0
Apical-723000110;442;0,902725;572,05;785,5;19,16;0,66;4,24;2,14;0,71;1,37;0,48;1,58;0,65;0,82;0,48;0,6;-118,08;0,97;0
Apical-723000111;440;0,371714;572,81;786,46;18,59;0,12;1,1;0,74;0,7;1,37;0,48;0;0,48;0,48;0,48;0,06;18,67;0,97;0
Apical-723000112;433;0,703333;571,67;787,99;17,63;0,28;2,51;1,71;0,6;1,28;0,44;1,11;0,46;0,48;0,44;0,22;81,08;0,94;0
Apical-723000113;427;0,760977;570,26;788,83;18,54;0,34;3,12;2,11;0,62;1,47;0,4;1,33;0,48;0,71;0,4;0,28;45,78;0,77;0
Apical-723000114;422;0,672831;568,71;788,38;17,55;0,24;2,06;1,35;0,66;1,57;0,4;0,56;0,5;0,58;0,42;0,18;-103,62;0,94;0
Apical-723000115;414;0,266856;567,06;789,71;17,8;0,04;0,45;0,36;0,73;1,47;0,4;0;0;0;0;0;89,74;1;0
Apical-723000116;415;0,155176;567,14;789,46;17,99;0,29;1,94;0,91;1,06;1,47;0,68;0;0;0;0;0,12;-7,3;1;0
Apical-723000117;412;0,945234;566,5;788,7;17,14;0,81;4,99;2,38;0,69;1,47;0,4;1,13;0,6;0,89;0,42;0,65;-112,07;0,94;0
Apical-723000118;411;0,626816;566,67;790,26;17,22;0,19;1,9;1,42;0,54;1,11;0,4;0,81;0,41;0,42;0,4;0,13;59,47;0,94;0
Apical-723000119;409;0,628797;565,83;790,19;17,49;0,35;2,92;1,86;0,69;1,24;0,42;0,76;0,51;0,61;0,42;0,29;139,42;0,96;0
Apical-723000120;407;0,182087;565,73;790,04;16,56;0,1;0,95;0,63;0,98;1,59;0,48;0;0;0;0;0,04;26,89;1;0
Apical-723000121;404;0,562149;565,02;790,5;16,83;0,12;1,32;1,05;0,61;1,37;0,4;0,56;0,41;0,42;0,4;0,09;103,76;0,97;0
Apical-723000122;405;0,631346;564,89;790,01;17,05;0,22;2,01;1,4;0,69;1,37;0,44;0,4;0,45;0,46;0,44;0,16;-158,71;0,99;0
Apical-723000123;398;1,06294;563,2;789,42;15,87;0,43;3,51;2,27;0,65;1,89;0,4;1,1;0,43;0,51;0,4;0,26;-98,85;0,91;0
Apical-723000124;399;0,488512;563,36;790,45;16,16;0,16;1,48;1,09;0,83;1,89;0,4;0,39;0,47;0,51;0,42;0,12;177,65;0,96;0
Apical-723000125;394;0,698655;563,43;790,8;14,39;0,36;3,07;1,97;0,75;2,06;0,4;1,13;0,43;0,51;0,4;0,19;32,03;0,96;0
Apical-723000126;395;0,754642;562,96;791,3;15,29;0,15;1,47;1,05;0,81;2,31;0,4;0,28;0,44;0,46;0,42;0,09;76,85;0,99;0
Apical-723000127;392;0,699642;562,98;791,3;14,2;0,44;3,03;1,3;0,77;2,17;0,4;0,26;0,41;0,42;0,4;0;62,92;0,99;0
Apical-723000128;394;1,34792;562,89;789,37;14,35;0,6;4,83;3,12;0,63;1,94;0,4;2,42;0,49;0,77;0,4;0,54;-71,01;0,88;0
Apical-723000129;392;1,42812;562,48;789,35;14,02;0,48;4,65;3,63;0,62;2,23;0,4;2,92;0,42;0,51;0,4;0,44;-89,73;0,68;0
Apical-723000130;389;0,468744;561,7;791,2;13,7;0,28;1,95;0,99;0,99;2,16;0,54;0;0,61;0,61;0,61;0,11;108,72;0,96;0
Apical-723000131;385;0,794407;561,97;791,7;12,55;0,32;2,53;1,44;0,72;1,88;0,4;0,55;0,44;0,51;0,4;0,16;64,16;0,93;0
Apical-723000132;385;0,376458;561,45;790,94;12,53;0,62;3,23;1,12;1,05;1,88;0,65;0;0;0;0;0,16;-112,08;1;0
Apical-723000133;381;0,723366;560,7;792,28;12,76;0,36;3,13;2,09;0,57;0,94;0,42;0,96;0,47;0,58;0,42;0,3;69,91;0,89;0
Apical-723000134;378;0,309566;559,98;791,78;11,86;0,2;1,86;1,34;0,67;1,14;0,46;0;0,46;0,46;0,46;0,15;-73,05;0,94;0
Apical-723000135;377;0,207741;559,78;792,14;12,15;0,09;0,89;0,59;0,85;1,29;0,48;0;0;0;0;0,03;16,64;1;0
Apical-723000136;375;0,326009;559,32;792,08;11,52;0,19;1,52;0,79;0,75;1,41;0,44;0;0;0;0;0,03;-104,38;0,97;0
Apical-723000137;370;0,552689;558,61;792,63;10,53;0,25;2,12;1,3;0,76;1,74;0,42;0,28;0,42;0,42;0,42;0,09;-76,02;0,93;0
Apical-723000138;371;0,564943;559;793,49;10,98;0,48;3,31;1,5;0,83;1,74;0,44;0,26;0,45;0,46;0,44;0,02;32,26;0,97;0
Apical-723000139;365;0,714604;557,05;793,73;10,93;0,58;4,26;2,51;0,61;1,03;0,4;1,5;0,56;0,69;0,4;0,55;64,93;0,92;0
Apical-723000140;361;0,443329;556,27;793,62;10,09;0,14;1,4;1,02;0,59;1,17;0,4;0,3;0,41;0,42;0,4;0,08;110,26;0,99;0
Apical-723000141;356;1,13906;555,82;794,16;8,86;0,37;3,29;2,29;0,58;1,59;0,4;1,55;0,46;0,58;0,4;0,31;79,27;0,99;0
Apical-723000142;358;0,742963;556,22;792,53;9,27;0,53;3,7;1,8;0,67;1,59;0,4;0,5;0,4;0,4;0,4;0,06;-49,29;0,98;0
Apical-723000143;357;0,325557;555,59;792,8;9,27;0,07;0,76;0,62;0,7;1,59;0,4;0;0,4;0,4;0,4;0,03;-87,86;0,99;0
Apical-723000144;352;0,401175;554,7;793,55;8,5;0,11;1,12;0,82;0,68;1,44;0,42;0,26;0,42;0,42;0,42;0,05;66,45;0,94;0
Apical-723000145;351;1,03369;554,11;792,31;8,97;0,45;3,66;2,27;0,61;1,32;0,4;1,17;0,45;0,53;0,4;0,28;-108,54;0,84;0
Apical-723000146;346;0,488514;553,2;792,92;7,69;0,13;1,34;1,17;0,68;1,52;0,4;0,35;0,4;0,4;0,4;0,09;-82,6;0,8;0
Apical-723000147;345;0,705373;552,72;794,03;7,93;0,32;2,46;1,4;0,7;1,59;0,42;0,26;0,47;0,51;0,42;0,15;109,81;0,95;0
Apical-723000148;343;1,23061;553,14;792,55;6,66;0,5;4,2;2,68;0,58;1,44;0,4;1,65;0,44;0,51;0,4;0,34;-60;0,97;0
Apical-723000149;332;0,668698;550,19;792,9;5,59;0,18;1,79;1,32;0,65;1,64;0,4;0,48;0,41;0,42;0,4;0,12;-70,74;0,97;0
Apical-723000150;332;0,901332;550,34;794,21;5,25;0,35;2,96;1,85;0,66;1,64;0,4;0,62;0,43;0,46;0,4;0,18;53,64;0,96;0
